Student ID,Dropout (1=Yes 0=No),Degree Code,Study Mode,Entry Year,Admission Type,Active Enrollment,Displaced Student,Second Degree Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Pass Rate 2 Years Ago (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Unpaid Fees Flag,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Assignment Submissions (Total),Test Submissions (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0015a14d0e61,1,620c9c332101,1,2016,NAP,1,1,,12.5,33.33,0,56.41025641025641,35,48,6,12,6,0,0,3,4,,16,88,1092.9924333333333,23,75,12,,,0,1,1
0015fc0a5b4e,0,01d54579da44,1,2022,NAP,1,0,,88.33,100,86.27,,,60,53,53,9,5,0,1,1,,,,,,149,,,,3,,1
0016fdba43a0,0,1d0ebea552eb,1,2018,NAP,0,0,,100,100,100,70.96774193548387,91.30434782608695,28.5,28.5,28.5,16.5,12,0,4,4,,56,398,5178.708233333335,120,61,38,,,3,2,0
0017043f04dc,0,093434a3ee9e,1,2022,NAP,1,0,,100,100,100,,,42,42,42,24,18,0,1,1,,10,68,673.4018,22,48,7,,,3,1,1
001871270d17,0,01d54579da44,1,2018,NAP,0,1,,100,100,100,100,100,55.5,55.5,55.5,4.5,19.5,0,4,5,,3,18,138.84088333333332,4,123,2,,,3,1,1
001d09a4b64c,0,3d3286f7cd19,1,2021,NAP,1,1,,100,100,100,80,,72,72,72,42,30,0,1,2,,48,499,4160.462033333333,108,158,29,,,3,2,2
001da21092d1,1,d6a403173361,1,2022,NAP,0,1,,0,0,0,,,60,0,0,0,0,0,1,1,,,,,,,,,,0,,1
0027b50e63e5,0,734d0759cdb4,1,,,0,1,,,,,,,60,0,0,0,0,0,1,1,,,,,,,,,,,,1
002b9d602755,0,01d54579da44,1,,,0,1,,,,,,,57,57,57,15,9,0,2,4,,,,,,130,,,,,,1
002d13f66ffe,0,2206b111c94d,1,,,0,1,,100,,100,0,46.51162790697674,30,30,30,0,30,0,1,1,,,,,,102,,,,3,,0
0030af669452,0,0fecf9247f3d,1,2019,NAP,0,1,,70,100,47.83,100,100,60,42,61,25.5,16.5,0,4,4,,41,575,3748.8888666666667,75,71,29,,,2,2,1
0030d73cd8e6,0,d4ee9f58e586,1,2020,NTE,1,0,,100,100,100,89.28571428571429,80.64516129032258,48,48,49.67,30,18,0,2,4,,35,400,2038.0524666666665,66,174,24,,,3,2,1
00311e6da87b,0,2397346b4582,1,,,0,0,,,,,,,45,45,45,36,9,0,1,4,,30,90,1665.7097,42,64,17,,,,2,1
003140d5d783,0,1d0ebea552eb,1,2018,NAP,0,1,,100,100,100,70.96774193548387,75.60975609756098,37.5,37.5,37.5,25.5,12,0,4,4,,34,269,3393.0668666666666,80,114,27,,,3,2,1
0037572ca46e,0,80c3cd40fa35,1,2017,NAP,1,1,,67.57,100,52,100,100,55.5,37.5,37.5,18,19.5,0,4,4,,,,,,5,,,,2,,1
003784be18af,0,5ec1a0c99d42,1,2020,NAP,1,1,,100,100,100,100,100,75,75,75,34.5,40.5,0,3,3,,18,94,1013.1595333333332,21,15,12,,,3,1,2
00391536e6b1,0,5ec1a0c99d42,1,2022,NAP,1,0,,100,100,100,,,60,60,60,9,6,0,1,1,,12,29,540.45335,16,,2,,,3,1,1
003bd069579b,0,3d3286f7cd19,1,2019,NAP,0,0,,100,100,100,93.33333333333331,100,60,60,60,34.5,25.5,0,4,4,,,,,,,,,,3,,1
003c27c61d28,1,be47addbcb8f,1,2021,NAP,0,1,,100,100,100,100,,60,60,60,6,9,0,2,2,,,,,,62,,,,3,,1
003e108faa68,0,79d6eaa26761,1,2021,NAP,1,0,,76.92,83.33,71.43,89.65517241379311,,58.5,45,45,22.5,22.5,0,1,2,,22,124,1781.2941333333333,42,101,19,,,2,2,1
0046ec649611,0,a512db2741cd,1,2020,NAP,1,1,,77.5,85,70,67.5,100,60,46.5,51,25.5,21,0,2,3,,38,139,2027.7494000000002,51,148,23,,,2,2,1
00495c738252,0,0fecf9247f3d,1,2020,NAP,1,1,,100,100,100,100,100,60,60,60,33,27,0,3,3,,56,1464,4785.200349999999,91,89,49,,,3,2,1
0049d896fb65,0,9e3b6232cb7b,1,,,0,1,,0,0,0,,,60,0,0,0,0,0,1,1,"1,0",,,,,,,,,0,,1
004c3d733ff2,0,ec2e990b934d,1,,,0,1,,,,,,,42,0,0,0,0,0,1,1,,,,,,,,,,,,1
004f95523855,0,0fecf9247f3d,1,2019,NAP,1,1,,86.67,63.64,100,27.027027027027028,100,45,39,39,10.5,10.5,0,2,2,,40,202,2001.2147333333335,54,126,25,,,3,2,1
00524260147b,0,60bfa6b5188a,1,,,0,0,,100,,100,100,,12,12,12,0,0,0,2,2,,,,,,,,,,3,,0
0052d25d361f,1,620c9c332101,1,2021,NAP,0,1,,10,20,0,0,,60,6,6,6,0,0,1,1,,10,55,645.8423833333334,13,139,5,,,0,1,1
005607c5c8ec,0,734d0759cdb4,1,2019,NAP,1,1,,0,0,0,0,22.5,61.5,0,0,0,0,0,2,3,,2,10,107.15966666666665,2,11,1,,,0,1,2
005705ce37f9,0,109605b9bd37,1,,,1,1,,28.57,50,20,100,0,21,6,6,3,3,0,1,1,,,,,,5,,,,0,,0
005be6564587,0,5ec1a0c99d42,1,2021,NAP,1,0,,100,100,100,100,,60,60,60,6,9,0,2,2,,8,130,375.8392666666667,10,119,6,,,3,1,1
005f395e8998,0,210e3b160c35,1,2021,NAP,1,0,,100,100,100,100,,60,60,60,31.5,28.5,0,2,2,,30,205,2988.7152833333334,70,135,21,,,3,2,1
005f8708a20f,0,2206b111c94d,1,,,1,0,,50,100,23.08,,,60,30,30,21,0,0,1,1,,,,,,117,,,,1,,1
006839c7e3df,0,a512db2741cd,1,2020,NLE,1,1,,93.02,100,88.89,100,100,64.5,60,60,24,36,0,3,3,,33,168,1910.74465,43,179,22,,,3,2,2
0068835b0e8f,0,bb668ca95563,0,2021,NTE,1,1,,69.23,42.86,100,44.82758620689656,,19.5,13.5,13.5,4.5,9,0,2,2,,,,,,,,,,2,,0
0070d8e56145,0,8bcbb4c131df,1,,,0,0,,,,,,,60,0,0,0,0,0,1,1,,1,1,45.15983333333334,1,1,2,,,,1,1
007370574c60,0,0fecf9247f3d,1,2020,NAP,1,0,,100,100,100,100,100,60,60,63.33,33,27,0,3,3,,29,91,1760.2476833333333,44,113,19,,,3,2,1
0075e619af51,0,5ec1a0c99d42,1,2022,NAP,1,1,,100,100,100,,,60,60,60,9,6,0,1,1,,35,122,1467.6715166666665,49,79,19,,,3,2,1
007b3a3559d2,0,61a229bae1e9,1,2021,NAP,1,1,,100,100,100,100,,60,60,60,33,27,0,2,2,,39,202,2396.854733333333,62,122,24,,,3,2,1
007e56267503,0,b847856411ae,1,,,1,0,,100,100,100,,,60,60,60,30,30,0,1,1,,,,,,82,,,,3,,1
007fe716aee3,0,620c9c332101,1,2019,NRO,1,1,,75,100,45,80,100,66,49.5,53.86,36,13.5,0,3,4,,,,,,56,,,,2,,2
0082a715fea4,1,ec2e990b934d,1,2022,NTE,0,1,,0,0,0,,,54,0,0,0,0,0,1,2,,1,1,45.06945,1,21,,,,0,1,1
0088aa76d8c6,0,d4ee9f58e586,1,2018,NRO,0,1,,100,,100,50,100,12,12,12,0,12,0,4,4,,,,,,5,,,,3,,0
008c28a29a25,0,620c9c332101,1,2019,NRO,0,1,,100,100,100,100,100,54,54,60,28.5,13.5,0,4,4,,46,572,5072.008716666666,86,87,24,,,3,2,1
008c7c2ac43f,1,3b731d7620bf,1,,,0,1,,0,0,0,100,,60,0,0,0,0,39,2,2,,,,,,,,,,0,,1
009544d860cd,0,77334823791b,1,,,1,0,,100,100,100,,,60,60,60,30,30,0,1,1,,,,,,142,,,,3,,1
0095f48d6f6c,0,2811745d7b8d,1,2019,NAP,1,1,,62.16,100,30,92.5,100,55.5,34.5,34.5,25.5,9,0,4,4,,46,140,2722.9959666666664,74,70,13,,,2,2,1
009683ce1321,0,7e8250dfc4ec,0,,,1,1,,100,100,100,,,24,24,24,12,12,0,1,1,,,,,,63,,,,3,,0
009852bdcc55,0,4a8596a7790b,1,2021,NAP,1,0,,100,100,100,100,,60,60,62.33,30,30,0,2,2,,51,303,4642.293566666666,113,137,36,,,3,2,1
009a42977257,0,0a5b046d07f6,1,2019,NCA,1,1,"1,0",0,,0,0,100,9,0,0,0,0,0,4,4,,,,,,,,,,0,,0
009d3daab8eb,0,01d54579da44,1,2020,NAP,1,0,,100,100,100,85,100,60,60,60,12,6,0,2,3,,7,31,361.6586666666667,9,125,3,,,3,1,1
00a7d876fbd9,0,9e6296be2bb9,1,,,0,0,,100,,100,53.84615384615385,,25,25,25,0,25,0,1,1,,,,,,,,,,3,,0
00aa4612f188,0,1d0ebea552eb,1,2019,NAP,0,1,,100,100,100,100,100,46.5,46.5,60,30,16.5,0,4,4,,52,432,5745.128066666666,178,111,38,,,3,2,1
00ac611a7b70,0,620c9c332101,1,2020,NAP,1,0,,92.86,84.21,100,68,75,63,58.5,58.5,24,34.5,0,2,3,,32,273,2691.7919166666666,63,129,30,,,3,2,2
00b0db9b16f1,0,2397346b4582,1,2019,NAP,1,1,,71.43,57.89,100,78.04878048780488,67.5,42,30,30,16.5,13.5,0,3,4,,26,485,1926.64675,65,73,19,,,2,2,1
00b66e8070c9,0,f57e5cb1f453,1,2021,NAP,1,0,,100,100,100,100,,60,60,60,30,30,0,2,2,,43,705,3262.52415,70,2,24,,,3,2,1
00ba1e774c1f,0,82c7725c70dc,1,,,0,0,,100,100,100,,,60,60,60,31.5,28.5,0,1,1,,,,,,141,,,,3,,1
00baa3859984,0,7045d16ae7f0,1,2022,NAP,1,1,,100,100,100,,,60,60,60,30,30,0,1,1,,41,237,2683.1347166666665,61,127,34,,,3,2,1
00bcf9a10e6e,0,1d0ebea552eb,1,2020,NAP,1,1,,60,55,65,81.25,70,60,36,36,16.5,19.5,0,2,3,,45,182,3017.4674999999997,69,38,35,,,1,2,1
00bebac74ba5,0,d6a403173361,1,2021,NLE,1,1,,100,100,100,100,,60,60,60,25.5,25.5,0,2,2,,,,,,143,,,,3,,1
00c98b8d59c4,0,ec2e990b934d,1,2020,NAP,1,1,,90.63,100,78.57,90,70,48,43.5,43.5,27,16.5,0,2,3,,40,280,3195.4997500000004,70,80,12,,,3,2,1
00c9df4734d9,0,5ec1a0c99d42,1,2020,NAP,1,1,,84.09,53.33,100,100,100,66,55.5,55.5,12,39,0,3,4,,14,80,880.6945333333333,21,,5,,,3,1,2
00d3e91167d7,0,4a8596a7790b,1,2022,NTE,1,1,,81.58,58.82,100,,,57,46.5,46.5,15,31.5,0,1,2,,,,,,112,,,,3,,1
00d895daa42b,0,bb668ca95563,1,2018,NAP,0,0,,100,100,100,62.5,100,18,18,18,6,12,0,4,4,,34,259,3398.8039833333332,63,25,18,,,3,2,0
00daefee579a,0,1523b662871b,1,,,1,1,,100,100,100,,,60,60,72,30,30,0,1,2,,,,,,104,,,,3,,1
00dba8397f8f,0,5cf4e26bd3d8,1,2022,NAP,1,1,,100,100,100,,,60,60,61,30,30,0,1,1,,80,566,7959.4114,161,139,50,,,3,3,1
00dc41af1241,0,d4ee9f58e586,1,2019,NAP,0,0,,85,100,64.71,100,100,60,51,61,34.5,16.5,0,2,4,,54,184,3181.8056166666665,77,85,38,,,3,2,1
00e36f056eb4,0,7559ca4a957c,1,2022,NAP,1,1,,100,100,100,,,60,60,60,18,18,0,1,1,,58,763,4685.755516666666,108,93,47,,,3,2,1
00f1bb1a997e,0,88cf986449b6,1,,,0,0,,100,100,100,,,60,60,60,22.5,37.5,0,1,1,,,,,,,,,,3,,1
00f7d8921103,0,dac53c17c250,1,2019,NAP,0,1,,90,80,100,100,100,60,54,60,24,30,0,4,4,,26,201,1700.0146499999996,34,117,19,,,3,2,1
00f91afebd70,0,2c7d5490e605,1,2020,NAP,1,1,,80.21,89.69,70,100,100,93.5,75,85,43.5,27,0,3,4,,1,5,46.63146666666667,1,1,,,,3,1,3
00fe364e6bb1,0,1d0ebea552eb,1,2020,NAP,1,1,,35.71,0,78.95,35,100,63,22.5,22.5,0,22.5,0,2,3,,26,127,1369.34315,40,126,17,,,0,2,2
00ff724d17de,0,d6a403173361,1,2022,NAP,1,1,,50,66.67,42.86,,,60,30,30,12,9,0,1,1,,35,144,1559.8752499999998,56,101,19,,,1,2,1
010b6e64a0d2,0,88cf986449b6,1,,,1,0,,91.23,100,84.38,,,57,52,60,25,27,0,1,1,,,,,,133,,,,3,,1
010e688d8cd5,0,9212e5e6ef41,1,,,1,0,,71.43,100,50,,,70,50,50,30,20,0,1,1,,,,,,83,,,,2,,2
01134c3defb5,0,0fecf9247f3d,1,2018,NAP,1,0,,80,100,0,92.85714285714286,83.78378378378379,45,36,54,36,0,0,3,4,,,,,,18,,,,2,,1
0115a837b13a,1,3b731d7620bf,1,,,0,0,,65,100,30,100,,60,39,39,30,9,0,2,2,,,,,,91,,,,2,,1
0116a126683f,0,8bcbb4c131df,1,2022,NAP,1,0,,100,100,100,,,60,60,60,21,21,0,1,1,,68,1323,4172.472316666667,116,161,45,,,3,3,1
011901e56c65,0,01d54579da44,1,2019,NAP,1,1,,73.33,70,74.29,73.91304347826086,100,67.5,49.5,49.5,10.5,6,0,3,4,,,,,,9,,,,2,,2
011a79cccebf,0,dbae772db290,1,2018,NAP,0,1,,80.95,66.67,100,100,80,52.5,42.5,60.5,20,22.5,0,4,4,,,,,,169,,,,3,,1
011ae1e38ea5,0,734d0759cdb4,0,2021,NAP,1,0,,42.5,0,85,100,,60,25.5,25.5,0,25.5,0,2,2,,1,6,47.36306666666667,1,,1,,,1,1,1
0126c7755078,0,2811745d7b8d,1,2020,NAP,1,0,,92.5,100,85,100,90,60,55.5,55.5,30,25.5,0,3,3,,58,565,5155.655116666667,112,91,34,,,3,2,1
0129c8bffda8,0,734d0759cdb4,1,2022,NAP,1,0,,100,100,100,,,60,60,60,18,24,0,1,1,,26,196,1820.177633333333,43,136,20,,,3,2,1
012b05cae088,0,01d54579da44,1,2021,NAP,1,1,,100,100,100,100,,60,60,60,16.5,10.5,0,2,2,,42,741,3404.0196333333333,73,161,33,,,3,2,1
012c9653637d,0,6a6581ce785d,1,,,0,1,,,,,,,61.5,0,0,0,0,0,1,1,,,,,,4,,,,,,2
012d92b69c36,0,7bccba2d3a3f,1,,,0,1,,100,,100,100,,10,10,30,0,0,0,2,2,,,,,,4,,,,3,,0
012e3f4775dc,0,be47addbcb8f,1,2022,NTE,1,1,,100,100,100,,,60,60,60,15,0,0,1,2,,,,,,92,,,,3,,1
013ecb891f6b,0,38b2d03f3256,1,2022,NTE,1,1,,26.19,20,31.82,,,63,16.5,16.5,6,10.5,0,1,2,,19,655,1766.3806666666667,48,132,14,,,0,1,2
0140a74265eb,0,5ec1a0c99d42,1,2022,NAP,1,1,,100,100,100,,,60,60,60,9,6,0,1,1,,22,112,943.8859833333333,29,92,17,,,3,2,1
0141f9aa555e,1,01d54579da44,1,2022,NAP,0,1,,45,100,35.29,,,60,27,27,9,0,0,1,1,,32,131,1555.9598666666668,39,22,25,,,1,2,1
01450f1ef6b6,0,7559ca4a957c,1,2020,NAP,1,0,,100,100,100,90,100,66,66,66,36,30,0,2,3,,31,93,1574.9272999999998,45,132,9,,,3,2,2
014610ae925b,0,d6a403173361,1,2016,NAP,0,1,,100,100,100,53.84615384615385,47.22222222222222,18,18,18,6,12,0,4,4,,38,301,2984.1265166666667,70,41,20,,,3,2,0
01480266c0db,1,c6d34483cedd,1,,,0,1,,0,,0,0,0,12,0,0,0,0,0,2,2,,,,,,68,,,,0,,0
0149e546b973,0,01d54579da44,1,2020,NAP,1,0,,100,100,100,100,100,60,60,60,12,6,0,3,3,,38,154,1700.00525,37,140,22,,,3,2,1
0159a27a7c7c,0,61a229bae1e9,1,2019,NAP,1,0,,90,100,84.62,74.07407407407408,100,60,54,54,21,33,0,3,4,,26,140,1809.9100999999998,36,117,16,,,3,2,1
01662ea14164,0,0fecf9247f3d,1,,,0,1,,,,,34.61538461538461,18.75,25.5,0,0,0,0,0,1,1,,3,16,135.36541666666668,3,,2,,,,1,0
0166c4644c5b,0,ec2e990b934d,1,,,1,1,"1,0",,,,78.37837837837837,,12,0,0,0,0,0,1,4,,,,,,,,,,,,0
016913fdff08,1,d6a403173361,1,2011,NAP,0,1,,0,,0,0,0,12,0,0,0,0,0,4,4,,2,11,45.17706666666666,3,,,,,0,1,0
016d06a65f30,0,d6a403173361,1,2020,NRO,1,1,,39.39,23.08,50,61.76470588235294,15,49.5,19.5,19.5,4.5,15,0,1,2,,23,114,1227.60655,28,90,16,,,0,2,1
01764f84925e,0,01d54579da44,1,2020,NAP,1,0,,100,100,100,100,85,60,60,60,12,6,0,3,3,,,,,,154,,,,3,,1
017ffaa0eaf2,0,a512db2741cd,1,2019,NAP,1,1,,100,100,100,100,100,60,60,60,33,27,0,4,4,,33,223,2271.7416000000003,56,88,22,,,3,2,1
01814c1f85cf,0,d4ee9f58e586,1,2019,NAP,0,1,,100,100,100,93.33333333333331,100,57,57,57,45,12,0,4,4,,,,,,4,,,,3,,1
01872bdc9af3,0,f57e5cb1f453,1,2022,NAP,1,1,,100,100,100,,,60,60,60,27,15,0,1,1,,,,,,138,,,,3,,1
018b3a8f537e,0,6a6581ce785d,1,,,1,0,,100,100,100,,,61.5,61.5,61.5,30,31.5,0,1,1,,,,,,150,,,,3,,2
018dba98a8a6,0,01d54579da44,1,2020,NAP,1,1,,100,100,100,100,100,60,60,60,12,6,0,3,3,,37,949,3914.380266666667,96,152,32,,,3,2,1
01902d426989,0,7045d16ae7f0,1,2022,NAP,1,0,,100,100,100,,,60,60,60,30,30,0,1,1,,50,193,3000.671416666667,80,115,28,,,3,2,1
019407af2946,0,b3773ecbf749,0,,,1,1,,100,100,100,,,22.5,22.5,22.5,12,10.5,0,1,1,,,,,,62,,,,3,,0
01986de2b7b6,1,605e9e90d537,1,,,0,1,,0,,0,80,,12,0,0,0,0,0,1,1,,,,,,1,,,,0,,0
01991184ed3a,0,01d54579da44,1,2019,NAP,1,1,,100,100,100,100,100,60,60,60,9,9,0,4,4,,32,62,342.66655000000003,37,149,3,,,3,2,1
019b323fc0bf,0,0a5b046d07f6,1,2020,NAP,1,1,,81.82,80,83.33,90,100,66,54,54,24,30,0,2,3,,22,121,1254.5722333333333,34,92,12,,,3,2,2
019d91117788,0,1d0ebea552eb,1,2021,NAP,1,1,,92.5,100,84.21,100,,60,55.5,55.5,31.5,24,0,2,2,,14,119,1257.1938333333333,29,135,13,,,3,1,1
019f5e8ade62,0,05c8bd5d4dcd,1,,,0,1,,100,,100,76.92307692307693,,12,12,12,0,12,0,1,1,,,,,,2,,,,3,,0
01a0259a708f,0,3d3286f7cd19,1,2019,NAP,0,1,,100,100,100,100,100,60,60,60,28.5,31.5,0,4,4,,33,212,2482.568816666667,63,87,21,,,3,2,1
01a2d93ed0a2,0,5a39cadd1b00,1,2022,NAP,1,0,,100,100,100,,,60,60,60,12,12,0,1,1,,61,972,3343.5492333333336,79,,25,,,3,3,1
01a34b9bf78f,0,38b2d03f3256,1,2017,NAP,0,0,,100,100,100,56.09756097560976,78.04878048780488,30,30,30,18,12,0,4,4,,26,198,1866.5489333333333,48,37,18,,,3,2,0
01a3bf0240b0,0,a512db2741cd,1,2019,NAP,0,0,,100,100,100,100,100,57,57,60,28.5,28.5,0,3,4,,74,1079,7975.796766666668,152,64,61,,,3,3,1
01a430739dae,0,620c9c332101,1,2021,NRO,1,1,,79.49,100,57.89,82.5,,58.5,46.5,49.5,30,16.5,0,1,2,,10,37,510.74923333333334,11,77,2,,,2,1,1
01a7698fa1c4,0,8bcbb4c131df,1,,,0,0,,,,,,,60,0,0,0,0,0,1,1,,,,,,,,,,,,1
01a93aca0d78,0,01d54579da44,1,2015,NAI,1,1,,71.43,,71.43,44,89.28571428571429,21,15,15,0,0,0,5,5,,6,18,195.10005,4,42,3,,,2,1,0
01aa1fd7e50a,0,734d0759cdb4,1,,,1,0,,0,,0,100,0,12,0,0,0,0,0,1,4,"1,0",,,,,,,,,0,,0
01ab86c15bd3,0,41e521adf8ae,1,2020,NAP,1,1,,68.42,68.42,68.42,71.11111111111111,65,57,39,39,19.5,19.5,0,2,3,,38,252,2507.5364666666665,63,181,30,,,2,2,1
01abae7c78d6,0,41e521adf8ae,1,2022,NAP,1,0,,100,100,100,,,60,60,60,30,30,0,1,1,,9,23,470.40145,11,128,5,,,3,1,1
01af15be5b50,0,620c9c332101,1,2017,NAP,0,1,,100,100,100,81.08108108108108,92.68292683,18,18,20.5,6,0,0,4,4,,21,104,1620.0481,36,43,13,,,3,2,0
01b2364094a1,0,210e3b160c35,1,2020,NAP,1,0,,100,100,100,100,100,60,60,60,22.5,28.5,0,3,3,,20,81,1064.2532833333332,27,147,11,,,3,1,1
01b4ccdf4d35,0,d6a403173361,1,,,0,1,,0,0,0,,,75,0,0,0,0,0,1,1,"1,0",14,81,917.7295333333334,25,42,14,,,0,1,2
01b51458bc21,1,38b2d03f3256,1,2022,NAP,0,0,,0,0,0,,,60,0,0,0,0,0,1,1,,21,111,1506.026,37,60,10,,,0,2,1
01b590aa1db5,0,7559ca4a957c,1,2020,NAP,1,1,,100,100,100,100,100,60,60,60,30,30,0,3,3,,34,139,1770.3445166666666,40,146,26,,,3,2,1
01b6216fbcd0,0,a512db2741cd,1,2022,NAP,1,0,,100,100,100,,,60,60,60,18,18,0,1,1,,105,739,7653.032383333333,169,,69,,,3,3,1
01bafe2a1643,0,d6a403173361,1,2021,NLE,1,1,,62.5,100,50,20,,48,30,30,12,9,0,1,1,,,,,,143,,,,2,,1
01bc5e2c194d,0,01d54579da44,1,2021,NAP,1,0,,100,100,100,100,,60,60,60,16.5,10.5,0,2,2,,21,140,1637.1604833333333,36,133,15,,,3,2,1
01bf3d4cbac9,0,b847856411ae,1,,,1,0,,83.33,100,66.67,,,60,50,50,30,20,0,1,1,,,,,,33,,,,3,,1
01c2dfbd24bf,0,7e62ce154998,1,,,1,0,,100,100,100,,,60,60,60,27,33,0,1,1,,,,,,104,,,,3,,1
01c3c49af0a2,0,d6061bbee6cf,1,2021,NAP,1,1,,100,100,100,100,,60,60,60,30,30,0,2,2,,60,378,4389.951183333334,120,15,25,,,3,2,1
01cb878d389d,0,0fecf9247f3d,1,2020,NAP,1,1,,100,100,100,100,100,60,60,60,33,27,0,3,3,,39,245,2172.5524833333334,56,118,19,,,3,2,1
01cecbb59f8b,0,1d0ebea552eb,1,2019,NAP,0,1,,100,100,100,90,90.90909091,66,66,66,36,30,0,3,4,,41,288,3216.812283333333,83,88,34,,,3,2,2
01cfe3052320,0,4a8596a7790b,1,2021,NAP,1,0,,100,100,100,100,,60,60,61,30,30,0,2,2,,18,221,1420.9206166666665,41,64,12,,,3,1,1
01d5982cc7d3,1,1d0ebea552eb,1,2022,NTE,1,1,,35.29,42.86,30,,,51,18,18,9,9,0,1,2,,14,66,976.8454666666667,25,123,8,,,0,1,1
01d5b48a582a,0,01d54579da44,1,2017,NAP,1,1,,78.26,75,79.41,100,85,69,54,54,13.5,9,0,4,5,,35,189,2420.0909333333334,58,142,29,,,2,2,2
01d64f417d4f,1,210e3b160c35,1,2021,NAP,0,0,,0,0,0,20,,63,0,0,0,0,0,1,2,,27,167,2171.9687500000005,45,95,19,,,0,2,2
01d7d306fe92,0,ff2ccb6ba423,1,2019,NAP,0,1,,100,100,100,100,100,46.5,46.5,60,30,16.5,0,4,4,,59,252,4034.525866666667,100,126,31,,,3,2,1
01da0e3c2cb8,0,be47addbcb8f,1,,,0,1,,0,0,0,50,,60,0,0,0,0,0,1,1,"1,0",18,133,1104.5158000000001,22,,10,,,0,1,1
01da5770b4b6,0,5ec1a0c99d42,1,2019,NAP,0,1,,100,100,100,100,100,60,60,60,18,33,0,4,4,,13,101,868.4705,21,14,9,,,3,1,1
01da64e9970e,0,61a229bae1e9,1,2021,NAP,1,1,,100,100,100,100,,60,60,60,33,27,0,2,2,,19,97,1062.3917500000002,22,113,10,,,3,1,1
01db532fd061,0,61a229bae1e9,1,2018,NAP,0,1,,100,,100,100,100,6,6,6,0,6,0,4,4,,,,,,2,,,,3,,0
01e7bf54aabb,0,210e3b160c35,1,2020,NAP,1,1,,100,100,100,77.5,100,64.5,64.5,64.5,22.5,33,0,2,3,,38,300,4039.1675333333333,89,176,27,,,3,2,2
01e9acbd4291,0,a512db2741cd,1,2021,NAP,1,0,,100,100,100,100,,60,60,66,28.5,31.5,0,2,2,,17,79,1424.198433333333,31,162,11,,,3,1,1
01eaea0c3cec,0,d6a403173361,1,2020,NAP,1,0,,42.86,54.55,30,75,100,63,27,27,18,9,0,2,3,,7,34,600.895,13,144,5,,,1,1,2
01eb168e9079,0,d4ee9f58e586,1,2020,NAP,1,1,,66.67,100,44,73.80952380952381,87.5,63,42,42,25.5,16.5,0,2,3,,25,649,1501.7487166666667,34,91,14,,,2,2,2
